county_code,county_name
01,TAITA TAVETA
02,KWALE
03,MOMBASA
04,KILIFI
05,TANA RIVER
06,LAMU
07,NYANDARUA
08,NYERI
09,KIRINYAGA
10,MURANG'A
11,KIAMBU
12,MACHAKOS
13,KITUI
14,EMBU
15,MERU
16,MARSABIT
17,ISIOLO
18,MAKUENI
19,THARAKANITHI
20,NAIROBI
21,TURKANA
22,SAMBURU
23,TRANSNZOIA
24,WEST POKOT
25,BOMET
26,UASIN GISHU
27,NAKURU
28,KERICHO
29,NANDI
30,LAIKIPIA
31,KAJIADO
32,NAROK
33,BARINGO
34,ELGEYO MARAKWET
35,BUSIA
36,BUNGOMA
37,KAKAMEGA
38,VIHIGA
39,KISUMU
40,KISII
41,HOMA BAY
42,SIAYA
43,NYAMIRA
44,MIGORI
45,GARISSA
46,WAJIR
47,MANDERA
