county_code,district_code,district_name
01,01101,TAITA
01,01113,TAVETA
01,01114,MWATATE
01,01115,VOI
02,02105,KWALE
02,02109,KINANGO
02,02110,MSAMBWENI
03,03106,MOMBASA
03,03108,LIKONI
03,03120,CHANGAMWE
03,03121,KISAUNI
04,04102,KILIFI
04,04107,MALINDI
04,04111,KALOLENI
04,04116,GANZE
04,04119,MAGARINI
04,04122,RABAI
05,05103,TANA RIVER
05,05112,TANA DELTA
05,05117,TANA NORTH
06,06104,LAMU WEST
06,06118,LAMU EAST
07,07201,NYANDARUA NORTH
07,07209,NYANDARUA SOUTH
07,07213,NYANDARUA CENTRAL
07,07214,NYANDARUA WEST
07,07215,KIPIPIRI
07,07216,KINANGOP
07,07225,MIRANGINE
08,08202,NYERI CENTRAL
08,08210,KIENI EAST
08,08217,MATHIRA EAST
08,08218,MATHIRA WEST
08,08219,MUKURWEINI
08,08220,KIENI WEST
08,08221,TETU
08,08237,NYERI SOUTH
09,09203,KIRINYAGA CENTRAL
09,09222,KIRINYAGA EAST
09,09223,KIRINYAGA WEST
09,09224,MWEA EAST
09,09239,MWEA WEST
10,10204,MURANGA EAST
10,10208,MURANGA SOUTH
10,10226,KANDARA
10,10227,KIGUMO
10,10228,MATHIOYA
10,10229,KANGEMA
10,10234,GATANGA
10,10238,KAHURO
11,11205,KIAMBU
11,11206,THIKA MUNICIPALITY
11,11207,THIKA WEST
11,11211,LIMURU
11,11212,GATUNDU SOUTH
11,11230,KIKUYU
11,11231,LARI
11,11232,GITHUNGURI
11,11233,THIKA EAST
11,11235,RUIRU
11,11236,GATUNDU NORTH
12,12301,MACHAKOS
12,12314,MWALA
12,12315,YATTA
12,12316,KANGUNDO
12,12329,KATHIANI
12,12330,ATHI RIVER
12,12343,MASINGA
12,12345,MATUNGULU
13,13302,KITUI CENTRAL 
13,13310,MWINGI CENTRAL
13,13317,MUTOMO
13,13328,KYUSO
13,13331,KITUI WEST
13,13332,MUTITO
13,13338,MWINGI EAST
13,13339,MWINGI WEST
13,13344,LOWER YATTA
13,13350,MUUMONI
13,13351,NZAMBANI
13,13352,TSEIKURU 
13,13353,KATULANI
13,13354,KISASI
13,13357,IKUTHA
13,13360,MATINYANI
14,14303,EMBU WEST
14,14312,MBEERE NORTH
14,14333,EMBU EAST
14,14341,MBEERE SOUTH
14,14355,EMBU NORTH
15,15304,IMENTI NORTH
15,15309,IGEMBE SOUTH
15,15318,MERU CENTRAL
15,15319,IMENTI SOUTH
15,15327,TIGANIA WEST
15,15334,BUURI
15,15337,IGEMBE NORTH
15,15349,TIGANIA EAST
16,16305,MARSABIT
16,16311,MOYALE
16,16320,CHALBI
16,16321,LAISAMIS
16,16340,SOLOLO
16,16358,NORTH HORR
16,16359,LOIYANGALANI
17,17306,ISIOLO
17,17322,GARBATULA
17,17356,MERTI
18,18307,MAKUENI
18,18323,MBOONI WEST
18,18324,NZAUI
18,18325,KIBWEZI
18,18335,KATHONZWENI
18,18336,KILUNGU
18,18346,MBOONI EAST
21,21524,TURKANA NORTH
21,21525,TURKANA SOUTH
21,21548,TURKANA EAST
21,21549,TURKANA WEST
21,21550,LOIMA
22,22502,SAMBURU CENTRAL 
22,22526,SAMBURU EAST
22,22527,SAMBURU NORTH
23,23503,TRANS NZOIA WEST
23,23504,KITALE MUNICIPALITY 
23,23528,TRANS NZOIA EAST
23,23529,KWANZA
24,24505,WEST POKOT
24,24530,NORTH POKOT
24,24531,POKOT CENTRAL
24,24568,POKOT SOUTH
25,25508,BOMET
25,25533,SOTIK
25,25551,CHEPALUNGU
25,25563,KONOIN
26,26507,ELDORET MUNICIPALITY
26,26509,ELDORET WEST
26,26534,ELDORET EAST
26,26535,WARENG
27,27506,NAKURU MUNICIPALITY
27,27511,NAKURU 
27,27536,NAKURU NORTH
27,27537,NAIVASHA
27,27538,MOLO
27,27552,RONGAI
27,27564,NJORO
27,27565,KURESOI
27,27569,SUBUKIA
27,27570,GILGIL
28,28512,KERICHO
28,28522,BURETI
28,28539,KIPKELION
28,28553,BELGUT
28,28571,LONDIANI
29,29513,NANDI CENTRAL
