"List of registered views"|"B"|"C"
"View:MyIndexView "|" Route: "|" Perms:[]"
"View:UtilView "|" Route: "|" Perms:[]"
"View:LocaleView "|" Route:/lang "|" Perms:[]"
"View:RegisterUserDBView "|" Route:/register "|" Perms:[]"
"View:ResetPasswordView "|" Route:/resetpassword "|" Perms:['can_this_form_get', 'can_this_form_post']"
"View:ResetMyPasswordView "|" Route:/resetmypassword "|" Perms:['can_this_form_get', 'can_this_form_post']"
"View:UserInfoEditView "|" Route:/userinfoeditview "|" Perms:['can_this_form_get', 'can_this_form_post']"
"View:AuthDBView "|" Route: "|" Perms:[]"
"View:MyUserDBModelView "|" Route:/users "|" Perms:['can_edit', 'can_list', 'can_userinfo', 'can_show', 'can_add', 'can_download', 'can_delete', 'resetmypassword', 'resetpasswords', 'userinfoedit']"
"View:RoleModelView "|" Route:/roles "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'Copy Role']"
"View:UserStatsChartView "|" Route:/userstatschartview "|" Perms:['can_chart']"
"View:RegisterUserModelView "|" Route:/registeruser "|" Perms:['can_list', 'can_show', 'can_delete']"
"View:PermissionModelView "|" Route:/permissions "|" Perms:['can_list']"
"View:ViewMenuModelView "|" Route:/viewmenus "|" Perms:['can_list']"
"View:PermissionViewModelView "|" Route:/permissionviews "|" Perms:['can_list']"
"View:AccounttypeView "|" Route:/accounttypeview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:BillView "|" Route:/billview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:BilldetailView "|" Route:/billdetailview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:BiodataView "|" Route:/biodataview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:CasecategoryView "|" Route:/casecategoryview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:CasechecklistView "|" Route:/casechecklistview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:CaselinktypeView "|" Route:/caselinktypeview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:CelltypeView "|" Route:/celltypeview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:CommitalView "|" Route:/commitalview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:CommitaltypeView "|" Route:/commitaltypeview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:ComplaintView "|" Route:/complaintview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:ComplaintcategoryView "|" Route:/complaintcategoryview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
"View:ComplaintroleView "|" Route:/complaintroleview "|" Perms:['can_edit', 'can_list', 'can_show', 'can_add', 'can_download', 'can_delete', 'muldelete']"
