View:MyIndexView | Route: | Perms:[]
View:UtilView | Route: | Perms:[]
View:LocaleView | Route:/lang | Perms:[]
View:RegisterUserDBView | Route:/register | Perms:[]
View:ResetPasswordView | Route:/resetpassword | Perms:['can_this_form_post', 'can_this_form_get']
View:ResetMyPasswordView | Route:/resetmypassword | Perms:['can_this_form_post', 'can_this_form_get']
View:UserInfoEditView | Route:/userinfoeditview | Perms:['can_this_form_post', 'can_this_form_get']
View:AuthDBView | Route: | Perms:[]
View:MyUserDBModelView | Route:/users | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'can_userinfo', 'resetmypassword', 'resetpasswords', 'userinfoedit']
View:RoleModelView | Route:/roles | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'Copy Role']
View:UserStatsChartView | Route:/userstatschartview | Perms:['can_chart']
View:RegisterUserModelView | Route:/registeruser | Perms:['can_list', 'can_show', 'can_delete']
View:PermissionModelView | Route:/permissions | Perms:['can_list']
View:ViewMenuModelView | Route:/viewmenus | Perms:['can_list']
View:PermissionViewModelView | Route:/permissionviews | Perms:['can_list']
View:AccounttypeView | Route:/accounttypeview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:BillView | Route:/billview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:BilldetailView | Route:/billdetailview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:BiodataView | Route:/biodataview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:CasecategoryView | Route:/casecategoryview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:CasechecklistView | Route:/casechecklistview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:CaselinktypeView | Route:/caselinktypeview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:CelltypeView | Route:/celltypeview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:CommitalView | Route:/commitalview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:CommitaltypeView | Route:/commitaltypeview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:ComplaintView | Route:/complaintview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:ComplaintcategoryView | Route:/complaintcategoryview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:ComplaintroleView | Route:/complaintroleview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:CountryView | Route:/countryview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:CountyView | Route:/countyview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:CourtView | Route:/courtview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:CourtaccountView | Route:/courtaccountview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:CourtcaseView | Route:/courtcaseview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:CourtrankView | Route:/courtrankview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:CourtstationView | Route:/courtstationview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:CrimeView | Route:/crimeview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:CsiequipmentView | Route:/csiequipmentview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:DiagramView | Route:/diagramview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:DisciplineView | Route:/disciplineview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:DocpartView | Route:/docpartview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:DoctemplateView | Route:/doctemplateview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:DocumentView | Route:/documentview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:DocumenttypeView | Route:/documenttypeview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
View:EconomicclassView | Route:/economicclassview | Perms:['can_list', 'can_delete', 'can_edit', 'can_download', 'can_add', 'can_show', 'muldelete']
